	Class A B C D E F G H I J K L M N O P Q R S T U V X Y W Z AA BB
112	0 22.14 29.82 33.02 40 -68.97 -7.469 -70 130.1 -72.43 -29.4 134.6 -30.83 51.49 159.7 -70.7 -46.26 82.66 -84.57 28.18 240.86 312.76 202.91 -201.57 224 49.9 -62.36 519.24 128.73
113	0 -4.92 -2.46 -6.11 60 -64.52 -76.15 -61.72 61.54 -20.09 -31.28 73.5 -42.3 51.08 135.8 31.08 11.88 113.2 -91.4 187.55 -134.66 329.77 139.22 -277.84 14.29 0.17 -162.64 -64.14 231.27
114	0 -21.47 -20.54 8.867 210 21.74 -16.13 -7.122 -61.67 106.8 -131 86.98 164.2 -0.7435 -95.31 55.24 -115.3 128.2 61.75 -77.65 289.73 191.12 101.69 51.61 189.83 -217.97 160.62 -217.44 -205.29
115	0 0 -2.451 46.83 130 -13.16 -20.61 -43.52 95 10.91 -62.2 99.56 115.9 -34.94 60.42 29.06 -23.55 150.7 55.01 -39.14 36.65 -265.36 185.18 162.66 -28.71 -75.17 12.35 436.08 209.08
116	0 -20.57 -17.64 -61.74 80 75.76 65.4 11.08 -105.3 119.8 -147.2 135.5 235 99.78 -105.2 -41.41 -158 160.4 15.52 -206.24 147.91 -240.31 27.89 -42.82 188.88 -317.94 -251.75 507.41 -150.64
117	0 -4.067 -7.986 36.02 130 -39.47 -34.2 -33.69 62.06 58.37 -91.44 174.4 66.85 49.92 53.48 66.5 -100.6 168.6 74.24 299.42 136.27 116.13 142.2 250.43 76.75 -137.47 -217.77 23.7 41.51
118	0 2.632 -2.256 56.59 70 -62.5 -85.65 -65.63 36.94 -27.37 -35.08 64.36 -27.91 3.314 89.3 -1.438 -28.6 68.87 -51.27 -265.59 -118.76 290.97 178.48 244.28 -111.71 -163.1 -275.5 66.81 159.89
119	0 -9.809 -8.476 -52.72 200 44.44 55.37 -9.724 -82.06 94.87 -162.9 56.56 287.9 49.92 -99.85 3.092 -185.6 110.3 205.4 -188.9 -333.59 -36.79 -286.7 184.31 227.03 -4.56 -187.71 210.61 156.26
120	0 18.94 9.47 -67.95 140 64.1 58.48 37.29 -25.49 53.94 -260.9 42.81 239.1 108.6 -0.5366 -93.59 -202.7 202.6 199.7 -281.7 264.14 -29.66 252.61 215.75 -67.54 -286.35 338.73 -141.24 116.82
121	0 85.61 51.14 2.507 70 -140.6 -18.29 -60.82 129.8 -42.64 -1.671 130.8 -25.59 118.7 51.05 2.142 -38.37 88.61 -127.2 -312.19 -60.93 335.41 -36.87 -112.81 60.08 -113.32 80.26 151.9 -46.98
122	0 93.18 59.09 22.39 70 -156.3 3.033 -65.98 167.7 -132.2 -9.321 42.81 22.59 57.6 69.71 -17.53 -33.54 -66.32 31.7 149.18 27.88 -171.06 330.88 103.53 198.62 145.02 -161.49 472.19 -42.65
123	0 32.58 16.29 -26.5 150 50 107.5 42.46 -21.7 94.33 -144.5 58.14 287.8 41.19 -129 69.03 -28.71 133.4 39.43 -124.11 139.07 203.82 123.52 -123.34 -99.87 -154.89 216.5 70.6 67.68
124	0 37.12 31.06 -46.89 130 -105.3 39.29 -29.83 159.1 -108.8 -86.66 91.65 130.6 53.04 71.91 72.96 -99 -30.15 121.8 -70.63 -106.34 150.41 111.71 -333.64 -222.28 -316.77 -53.44 4.23 -249.81
125	0 0.8982 0.4491 -56.87 210 32.61 16.03 -9.236 -75.9 101.4 -133.3 15.22 250.6 -58.54 -214.6 96.84 -134.6 79.28 149.1 -271.18 -145.45 -271.19 340.54 -4.61 -83.53 -313.59 94.63 -93.93 -112
126	0 -2.096 -1.048 -65.68 180 23.26 50.69 3.836 -34.86 89.73 -121.1 23.22 281.8 -82.73 -202.9 50.33 -106.4 157 243.4 -5.45 67.23 -152.53 336.75 -83.91 64.9 84.89 11.35 174.9 60.82
127	0 21.86 14.22 -2.308 50 -66.67 -30.5 -61.53 15.74 -50.88 -1.714 32.03 6.732 20.97 126 -61.64 52.15 46.61 -31.66 -6.89 -233.24 330.89 -120.22 73.54 240.95 2.98 -48.42 214.26 20.17
128	0 -0.8982 -7.028 -30.46 140 -12.82 -61.52 -15.77 25.3 27.33 -123.5 119.2 84.48 -10.14 62.15 16.74 -46.14 NA 49.18 262.89 -37.69 -78.8 -211 6.7 -204.51 -101.09 281.56 614.74 -103.61
129	0 13.47 10.03 49.56 120 -13.51 -44.19 -41.92 -1.802 5.698 -67.5 34.43 101.1 -37.8 85.57 -84.9 -88.08 113.1 92.97 10.44 -179.65 144.44 67.29 286.12 -80.97 -127.01 347.91 511.44 -174.63
130	0 19.46 16.31 25.63 -60 -131.6 -48.75 -74.6 105.7 -87.49 -23.17 51.23 10.05 79.73 40.86 -63.36 -6.168 102.9 0.9031 197.64 50.23 -212.08 219.27 -198.99 -197.68 182.82 106.72 -151.38 -55.48
131	0 -10.84 1.335 -32.72 130 0 7.986 -27.39 35.29 -11.87 -148.3 86.49 123.6 -3.526 39.55 -69.03 -119.9 135.6 107.1 -258.4 38.4 -103.21 158.35 200.96 -208.55 45.33 38.2 600.14 -149.87
132	0 1.526e-05 3.378 23.65 140 64.1 82.89 -0.5953 -56.96 167.7 -154.1 77.69 206.6 NA -79.56 81.2 -105.8 173.4 106.4 -122.4 27.02 -203.58 91.23 223.83 52.14 -137.81 -282.88 -19.06 101.54
133	0 34.94 24.23 37.47 50 -150 -45.11 -75.61 121.5 -116.6 -12.61 72.8 -21.14 77.06 117 -57.58 10.59 89.56 -19.33 271.93 114.65 -206.62 96.59 92.42 -160.8 227.65 8.76 482.47 -72.43
134	0 34.94 30.98 -22.33 20 -111.1 0.4004 -64.89 57.33 -43.75 31.07 119.3 -19.51 102 60.83 -58.3 42.42 128.6 -63.71 305.22 -363.19 -119.64 -179.71 -99.21 -179.83 -88.03 160.9 -59.75 85.87
135	0 6.024 13.15 -58.14 110 41.67 18.42 -11.31 34.18 38.88 -176.1 39.05 144.9 3.12 -59.14 1.796 -38.56 111.3 -2.525 306.11 -23.61 289.78 -257.46 33.4 238.17 186.22 99.11 239.06 -60.54
136	0 8.797 4.398 18.14 170 -23.81 -15.88 -17.48 81.41 -30.91 -160.2 74.17 152.2 30.33 -31.37 15.41 -162.1 92.8 122.3 -336.95 257.64 162.11 -198.02 267.74 192.04 -145.23 -307.09 -51.83 -87.27
137	0 12.77 9.674 -2.052 160 60.98 55.31 4.495 -68.95 131.7 -100.2 66.58 192.8 -19.67 -161.6 125.6 -62.64 173.5 116.8 162.87 230.16 47.05 64.95 20.2 258.23 206.06 -80.49 49.65 -10.31
138	0 45.69 32.71 2.027 150 0 -14.25 -33.96 59.61 -33.05 -183.9 64.21 154.5 68.36 -22 -114.2 -130.2 119.7 171.2 287.21 291.51 182.94 322.23 28.17 -3.79 -275.05 40.07 249.5 18.25
139	0 -0.2838 6.437 -131.9 140 -76.92 102.8 4.495 104.9 14.55 -9.169 202.6 56.28 -14.04 -239.4 64.8 -53.59 152.7 33.64 111.43 301.01 263.92 140.28 278.19 -6.9 -129.86 -161.35 -71.68 99.24
140	0 38.65 31.04 56.14 60 -96.77 -23.79 -76.83 114.9 -129.2 -18.79 94.73 29.16 96.79 46.63 -112.6 -12.7 112.6 -3.407 300.82 15.23 76.97 97.23 58.37 -122.2 297.57 293.25 351.6 31.03
141	0 20.18 10.09 -5.934 130 -13.16 -12.89 -6.712 36 6.144 -128.2 122.6 153.1 59.05 11.68 17.79 -98.4 170.6 77.06 -93.5 -143.98 -18.54 236.54 67.22 -4.58 -299.59 -326.96 587.01 181.96
142	0 44.12 25.97 0.7237 50 -133.3 -78.31 -66.04 164.4 -64.09 -17.69 81.09 -54.65 96.79 145.7 93.13 8.722 99.88 -175.4 -172.9 124.45 383.49 -168.59 -128.31 311.35 -10.64 62.68 395.77 -30.6
143	0 -3.078 2.367 -80.28 210 43.48 149.7 52.62 -40.77 142.8 -220.5 161.3 267.6 171.3 -93.18 30.83 -220.6 128.5 241.4 -26.73 211 125.11 314.33 193.38 17.53 300.5 209.09 -178.11 119.39
144	0 -4.446 -2.223 1.797 140 0 2.974 4.075 82.92 -34.72 -166.3 95.82 172.7 8.427 64.11 -22.78 -160.4 134.8 76.21 -138.49 -202.94 278.91 157.13 -128.22 120.75 -315.36 121.04 72.38 197.29
145	0 21.55 10.77 -30.33 170 83.33 37.67 14.86 -97.27 181.1 -167.8 99.64 200.8 26.84 -135.1 66.33 -150.4 133.3 116.9 -167.47 7.28 -302.31 119.35 268.93 263.32 -101.92 295.54 26.2 217.69
146	0 11.39 5.696 14.09 170 -23.81 -2.094 -26.27 55.5 26.8 -160.6 105.4 135.2 37.89 -30.37 41.61 -148.5 144 128.3 -208.52 -133.23 329.21 -286.07 -228.52 -148.72 -326.42 211.25 -127.97 -71.72
147	0 16.46 11.61 -24.6 240 40.82 80.54 -0.9642 -104 179.4 -105.8 50.94 205.9 -22.59 -164.5 116.1 -75.26 188.8 152.1 237.02 101.45 332.56 -22.41 25.73 62.79 104.22 -98.02 469.55 -245.77
148	0 48.73 34.5 -2.611 150 0 -9.817 -37.12 37.51 -24.06 -201.1 11.73 141.2 19.88 13.42 -71.87 -143 102.8 161 -229.86 144.66 231.89 -133.9 -129.44 -186.62 95.65 163.9 -155.92 179.65
149	0 0.2793 0.1397 50.7 170 0 3.988 -31.8 32.02 24.9 -111.9 138.7 146 -5.675 9.584 34.4 -143.5 150.3 154.9 251.84 -56.83 177.36 120.62 -80.21 241.14 237.28 356.23 -172.34 -42.69
150	0 24.86 21.15 27.99 40 -103.4 -71.36 -72.45 99 -67.49 -10.99 102.7 -34.49 103.5 45.88 10.32 4.124 117.8 -32.87 -127.6 -232.53 383.35 152.72 -267.69 10.88 -44.76 164.26 -155.39 -150.94
151	0 22.07 13.94 -58.48 170 -35.71 31.75 -8.578 100.8 -47.64 -191.4 116.8 137.3 -10.3 26.87 -10.43 -142.5 194.6 30.85 -149.52 -210.56 -9.56 -114.11 80.21 -97.84 -237.11 -161.44 -137.49 -132.57
152	0 0.2793 3.047 5.492 230 20.83 80.33 -20.19 -51.38 74.18 -137.7 30.62 262.8 64.61 -91.52 103.3 -91.2 86.24 213.6 246.99 77.32 266.64 284.71 -212.19 -204.72 189.23 -174.77 326.22 -132.95
153	0 47.77 29.7 -13.62 50 -116.7 -119.9 -78.26 69 -115.4 -50.36 49.52 -40.28 31.32 44.15 -116.7 -60.23 99.05 -50.47 32.48 138.32 -197.68 210.96 63.4 -152.13 -79.92 364.71 -179.58 -167.77
154	0 -2.132 2.611 36.73 150 -25 -46.77 -49.36 55.48 45.61 -42.36 72.28 77.85 -38.5 51.98 142.8 -9.07 14.9 10.64 -180.12 198.53 -94.47 -55.55 248.27 -89.75 36.18 80.65 73.62 -49.6
155	0 -2.741 2.306 -8.184 220 10.64 83.34 -2.253 -27.94 43.06 -171.4 21.33 307 28.4 -101 -100.4 -232 -20.82 170.6 198.76 -46.73 392.38 277.49 -111.03 237.96 26.86 -142.24 596.42 26.87
156	0 16.75 8.374 69.67 20 -148.1 -41.06 -63.49 127.6 -132.7 -18.49 50.16 13.52 56.57 49.2 -21.48 17.47 17.13 -88.82 133.12 -105.6 261.75 -113.09 -98.79 176.9 -189.87 -155.78 -155.53 -237.26
157	0 27.71 21.21 -5.051 60 -129 -18.24 -58.78 144.4 -166.5 -64.86 158.8 3.361 121.7 20.46 -102.6 -40.39 213.6 -41.04 -208.64 163.36 228.69 -49.01 -294.54 287.67 -235.93 -28.3 554.09 -64.88
158	0 7.613 3.806 -42.63 180 23.26 52.52 -2.253 -13.42 -28.27 -174.6 -4.809 286.7 103.2 -38.88 -126.9 -152.9 19.36 69.15 -207.24 -218.88 -56.72 -72.78 -41.75 291.53 -66.09 -161.72 259.45 -11.41
159	0 2.741 1.37 16.27 120 13.51 -81.01 -30.52 -3.972 -49.93 -183.3 40.1 163.1 10.79 62.18 -96.81 -151.9 89.67 21.37 -69.1 294.81 313.03 -52.94 30.14 -20.98 -154.43 -102.25 -96.46 -233.95
160	0 12.87 6.434 8.89 140 -25.64 -3.782 -15.49 100.1 -51.43 -188.8 116.9 133.4 105.6 32.33 -68.57 -167.8 136.8 134.4 -27.1 -179.05 226.08 54.62 -273.55 94.18 8.16 -183.51 563.39 222.53
161	0 22.06 15.49 83.29 60 -48.39 -107.1 -75.66 -136.1 94.33 24.11 -71.27 -1.047 -60.3 2.739 -58.39 -24.99 -34.01 -8.019 -159.33 137.81 322.55 298.39 161.83 235.81 212.41 -204.33 550.29 -68.71
162	0 80.88 67.23 -36.61 90 -73.53 -109.3 -69.33 90.03 -80.32 -65.71 74.15 16.8 54.46 113.5 27.32 -59.44 179.3 -17 268.86 -339.06 -261.91 261.8 155.34 174.42 110.43 -140.44 -155.17 -75.8
163	0 10.11 5.055 -28.67 230 31.25 146.3 28.85 -79.5 114 -186.7 -34.16 263.3 34.73 48.39 44.29 -171.8 105 222.9 -93.41 -365.61 -114.63 -247.36 -201.78 198.27 -177.1 -120.97 -201.64 137.02
164	0 -6.434 1.247 -40.07 230 31.25 164.8 28.85 -73.06 130.4 -245.7 2.962 247.2 62.53 119.4 62.96 -229.9 37.41 155.6 -137.49 -237.54 -138.25 79.37 32.56 147.28 -186.26 -183.83 137.97 -225.9
165	0 -20.22 -10.11 -53.05 160 -60.98 22.32 -5.99 113.5 -77.03 -142.4 97.03 151.3 29.35 12.88 17.99 -108.3 71.18 143.4 -141.9 -157.87 179.99 75.5 -241.05 88.89 -178.49 366.66 509.44 51.62
166	0 -16.08 -9.853 -49.32 130 -13.16 -41.86 -28.81 0.903 -24.84 -91.49 73.82 110.3 -60.72 34.35 -109.8 -90.19 68.39 148 -6.43 -295.6 246.24 -198.84 -51.91 114.68 -140.71 105.42 -72.16 -134.85
167	0 29.97 27.67 55.16 40 -137.9 1.4 -66.71 141.3 -141.3 -17.61 121.2 -5.306 124 7.54 -72.28 -2.297 211.6 -48.48 -160.03 -4.42 238.65 -263.43 173 323.76 -215.18 251.2 554.96 -25.89
168	0 -13.16 -8.391 -38.6 210 -10.87 9.511 -18.47 29.04 52.15 -181.1 123 281.4 127.5 -81.06 118.6 -172.3 181 132.2 -190.01 -230.27 320.27 121.62 246.18 -172.88 98.03 -2.76 311.35 17.79
169	0 8.041 5.832 -42.48 130 -39.47 -62.59 -39.15 50.08 -6.096 -91.49 58.82 83.19 -57.16 135.8 120.1 -101.3 86.53 -3.721 -8.5 159.39 276.55 51.01 -211.05 174.19 13.45 -71.1 87.77 -20.94
170	0 10.96 10.92 -89.49 10 -173.1 37.45 -56.37 118.4 -143.3 5.321 128.4 16.64 128.4 23.86 -141.3 -60.29 73.16 -45.99 146.23 -366.57 53.62 -334.43 118.91 2.67 253.5 272.54 404.77 11.01
171	0 -4.386 -4.005 -54.1 150 25 23.03 -18.47 0.06139 80.27 -181.9 129 300.4 73.99 -125.4 33.5 -98.22 197.3 240.8 33.68 126.05 245.18 -174.85 -79.26 -193.39 -44.29 6.99 51.36 -19.3
172	0 2.008 2.441 90.78 40 -68.97 -127.2 -59.62 37.92 -18.73 -31.9 44.54 -40.3 23.39 118 37.53 -5.077 27.69 -95.86 284.33 -160.51 -248.07 94.67 -115.15 -98.9 43.09 -294.59 89.87 -241.69
173	0 -6.526 -7.573 7.904 160 -24.39 -37.35 -19.63 74.41 -15.83 -149 72.79 194.2 68.05 -64.97 109.4 -186.5 68.91 119.8 -211.62 -118.63 302.68 -109.47 -266.09 -229.29 -127.55 -259.32 -149.96 -15.74
174	0 8.032 2.579 -55.42 10 -115.4 -72.22 -43.62 21.97 -134 -49.32 13.82 -10.65 71.3 130.9 -98.33 17.39 127.3 -79.83 2.95 -346.73 -105.49 228.41 -95.88 NA -99.53 281.57 343.47 -78.05
175	0 27.78 20.83 29.25 80 -75.76 -64.23 -66.83 74.97 -131.1 -51.83 10.55 25.85 -40.9 53.1 -77.91 -39.24 29.36 42.44 -61.77 -83.38 88.18 248.4 -79.12 189.49 285.33 71.98 -105.89 223.43
176	0 -8.274 -0.6649 12.47 150 -12.5 59.04 -8.087 79.31 -43.62 -132 41.56 264.9 86.26 45.07 46.32 -104.9 122.3 192.6 -286.96 -70.99 -168.97 -46.46 104.33 -164.62 -71.99 -198.7 15.15 185.84
177	0 1.182 -2.881 80.96 120 -13.51 -69.05 -40.72 21.28 -13.07 -64.54 14.52 88.32 -49.21 40.48 70.9 -101 69.88 55.76 67.86 229.01 57.83 312.57 178.98 -204.34 -325.54 -297.59 395.26 -80.31
178	0 -18.91 -12.93 34.8 170 11.9 NA -14.61 -10.18 96.75 -126.2 88.49 172.5 13.77 -73.11 59.91 -110.5 93.71 44.66 6.71 -330.78 -229.82 -280.37 62.06 -167.35 209.47 -173.14 8.89 38.24
179	0 NA 11.75 -58.63 120 -13.51 -70.98 -21.14 -56.96 17.48 -78.42 57.47 22.02 -24.26 159.8 -121.3 -148.1 58.75 28.39 96.13 125.29 11.85 -25.8 -358.47 -136.09 -144.84 -100.72 468.03 -1.33
180	0 31.91 26.37 -73.4 80 -60.61 -50.75 -60.3 34.7 -61.78 -42.97 98.83 17.56 44.67 101.3 -46.21 -59.97 178.7 -18.96 -161.4 -137.15 -122.72 -326.11 -13.25 -38.78 -292.94 236.37 64.8 -89.01
181	0 0 3.205 56.27 130 26.32 2.139 -14.63 -28.96 112.2 -107.4 103.9 181.2 34.93 -46.35 78.83 -132.7 57.68 81.06 -168.32 -261.5 240.55 -58.43 7.98 36.75 125.56 -138.96 531.1 -17.83
182	0 16.18 20.91 121.1 70 -62.5 -60.38 -66.39 88.63 -23.28 -30.82 103.9 -1.318 40.99 101.2 38.14 4.474 76.51 -42.9 -261.92 -105.9 212.68 295.34 42.16 -248.74 62.08 62.68 -74.54 -134.36
183	0 16.7 24.38 48.13 50 -33.33 -43.83 -81.17 65.33 0.4227 -2.45 90.92 33.69 49.07 74.57 0.4021 43.68 103 -72.92 -84.85 221.82 -245.33 214.45 -261.69 -0.85 259.43 292.39 543.68 -35.21
184	0 11.48 15.36 -110.6 130 26.32 -108.2 -29.42 -82.9 76.99 -101.5 -13.43 7.435 -42.83 124.5 20.38 -108.8 192.3 54.31 159.86 16.13 87.43 200.33 69.77 -31.79 -12.45 56.05 -43.63 -17.17
185	0 -9.973 -11.93 -55.61 130 0 12.07 1.921 31.69 61 -125.2 52.1 248.4 -19.06 -54.89 67.15 -97.4 186.7 112.1 -258.89 -316.93 156.15 -138.03 239.93 -254.61 -127.62 -27.39 92.24 -62.08
186	0 13.3 6.649 36.4 140 -12.82 -75.93 -52.45 -29.79 63.38 -50.3 7.189 55.92 -50.29 79.22 12.9 -88.17 65.57 116 -264.26 110.24 -259.54 69.24 52.26 175.04 -323.86 -98.65 68.39 -181.27
187	0 29.92 21.9 47.87 40 -17.24 -64.33 -52.45 -58.8 15.73 -45.92 81.53 -32.25 19.11 118 -80.62 -23.11 124.6 -7.732 -160.23 -202.58 229.63 66.61 -132.92 -226.17 -265.05 215.94 189.18 171.91
188	0 45.52 19.19 -47.89 240 30.61 -88.61 -58.64 -64.96 126.3 -44 -91.1 86.79 -33.43 -4.617 139.6 24.05 -101 103.7 -221.67 -142.84 169.23 246.22 -34.9 -199.56 -314.78 -275 129.37 7.07
189	0 0 7.143 29.86 190 45.45 138.1 20.48 -2.751 79.23 -202.4 66.37 253.4 96 -111.5 62.29 -81.53 216.7 159.6 53.76 -57.33 -113.19 303.24 -358.44 144.43 -155.32 -325.33 250.71 186.75
190	0 24.46 26.51 51.62 60 -80.65 -38.85 -63.03 80.01 -60.9 -24.3 107 -9.039 50.16 90.79 -121 14.67 158.4 -78.65 129.02 -75.22 -225.63 -128.03 -188.4 110.46 -22.6 188.15 434.8 34.57
191	0 26.49 20.39 -34.62 10 -96.15 -96.51 -85.01 -16.37 3.346 24.8 -16.1 -21.2 5.669 57.07 -17.65 42.39 52.53 -58.79 304.4 -142.84 193.84 -233.82 140.83 -246.44 -151.97 -194.23 325.77 -35.03
192	0 -27.17 -13.59 -46.31 220 74.47 138.1 24.87 -94.08 171.3 -177.8 15.4 264.1 24.54 -49.85 84.39 -106.4 51.56 219.9 -209.78 -72.86 113.71 100.61 -56.86 -151.64 -58.69 -334.26 21.51 79.17
193	0 26.21 16.78 -69.96 30 -142.9 -53.24 -77.92 108 -109.6 -22.95 90.13 -7.985 125.4 49.34 -49.75 -8.669 116.5 -209.4 -264.22 -156.81 -133.09 -54.98 -209.41 237.33 -193.85 42.29 40.12 -149.65
194	0 12.1 6.048 17.55 30 -178.6 17.9 -82.98 47.19 -38.89 86.51 30.47 -76.63 47.25 9.15 19.63 55.49 68.95 -39.28 -65.6 -329.69 -83.36 325.49 92.05 261.96 -76.37 139.7 -117.26 77.63
195	0 16.13 11.74 15.72 130 26.32 -23.24 -37.5 10.39 52.12 -124 80.84 156.4 -16.24 -4.499 4.61 -86.94 154.8 125 -223.41 -318.62 84.06 -193.34 -194.18 167.68 290.34 -80.03 -2.33 5.53
196	0 3.36 9.033 -53.9 170 71.43 129.3 18.08 -62.37 90.97 -163.7 2.597 297.1 43.37 8.392 28.21 -150.7 139.2 190.7 266.6 277.56 275.99 196.46 287.35 -153.26 55.1 -12.06 -108.05 28.78
197	0 -3.36 -5.357 -82.14 150 -25 -27.52 -27.4 57.9 6.326 -150.3 98.94 159.8 72.8 -34.83 -13.99 -116 138.4 33.73 124.94 -149.48 21.23 -145.63 -321.09 21.77 -130.48 247.5 -142.45 189.24
198	0 6.72 -0.3163 -6.147 190 11.36 23.05 -2.133 -4.88 55.6 -132 67.64 213.2 100.7 -56.82 66.84 -161.4 111.1 154.9 188.81 -238.77 305.24 -321.64 306.83 -124.79 -19.64 5.57 512.26 53.29
199	0 -41.24 -32.34 -141.9 100 14.29 92.02 31.94 17.31 15.87 -86.11 172.8 169.6 144 -245.5 -188.7 -10.09 144 40.25 -20.54 147.11 -274.21 158.51 -85.4 -42.6 94.94 -64.6 -0.66 10.11
200	0 17.4 16.51 -82.55 20 -148.1 18.16 -65.42 76.46 -121 -8.931 124.2 25.9 78.84 70.78 -141.6 -110.5 118.6 -65.14 274.98 57.92 349.11 -122.36 -139.5 287.77 185.04 -191.85 193.17 1.73
201	0 3.866 1.933 -38.11 150 -37.5 -27.13 -19.06 108.2 22.91 -182.3 113.5 144.5 27.11 21.49 183.7 -170.8 185 69.56 -163.36 -68.86 -224.42 -156.26 -140.4 115.97 243.21 -254.17 486.3 -205.03
202	0 -12.24 -2.215 -9.23 160 48.78 76.26 4.121 -43.96 64.03 -187.9 -24.57 266.1 -9.022 43.67 22.5 -103.7 117.8 186.8 -72.43 -0.13 -59.17 -208.86 -46.99 52.01 296.43 -299.12 332.77 -91.89
203	0 21.91 -4.671 52.94 250 -10 -149.2 -56.15 -31.6 47.8 -62.25 -35.23 81.04 -67.12 -35.2 169 -26.54 -113.2 68.16 220.27 5.43 147.44 -64.76 -262.1 -232.13 187.03 132.01 441.06 11.48
204	0 31.57 23.6 17.92 0 -140 -25.17 -70.06 168.5 -95.59 -31.3 146 -26.74 91.59 57.64 -8.092 24.91 135 -130.7 -105.06 -25 -30.51 -173.53 209.38 -135.3 192.08 -2.49 582.55 -94.96
205	0 -2.206 -4.575 2.311 170 0 45.46 -11.27 -0.6145 63.47 -115.2 52.48 238.3 30.83 -56.65 58.06 -140 67.96 131.9 13.77 275.9 248.61 201.08 -111.32 179.89 -315.95 135.25 171.09 -8.42
206	0 41.18 31 30.51 30 -142.9 21.14 -69.07 110.6 -58.66 32.1 119 -35.41 69.47 73.05 -47.26 26.13 81.21 -61.43 -287.66 -172.72 -193.51 -21.95 -98.24 131.98 62.44 227.95 83.76 -203.43
207	0 5.882 6.413 -72.94 160 0 48.5 -20.91 -0.1229 6.476 -158.5 -5.27 258.8 53.85 -8.508 -1.84 -131.5 88.15 173.4 -256.84 -169.34 34.57 -187.82 -276.03 -207.82 228.34 -94.39 -96.98 67.42
208	0 -2.941 2.002 -33.33 140 0 35.32 -6.458 31.96 96.03 -120.8 119.5 127.6 -27.54 -7.526 71.89 -79.61 135.5 105.9 16.9 13.66 -152.46 -310.93 170.02 -100.95 -262.73 -237.62 499.7 118.12
209	0 -3.157 0.3448 -41.36 140 25.64 -11.98 -23.22 -27.36 115.2 -96.51 26 235.5 -22.01 -58.8 -10.5 -95.17 126.9 140.5 159.53 -331.98 -148.08 325.41 24.74 -239.58 -135.8 -29.32 251.36 118.03
210	0 27.78 27.35 -17.46 80 -90.91 1.312 -35.94 85.24 6.016 -17.9 148 -28.21 65.75 182 -11.76 -37.88 101.1 -33.06 75.41 -111.59 318.97 140.88 -159.28 -35.73 -65.69 155.73 392.71 222.56
211	0 -6.313 -5.08 -61.5 160 24.39 26.88 8.571 -44.2 159.5 -115.3 77.97 261.4 3.865 -108.4 48.36 -71.79 113.5 149.7 -248.08 169.25 -125.2 354.03 314.13 218.44 233.02 267.57 519.81 183.06
212	0 20.83 20.03 2.596 60 -64.52 -28.34 -42.3 84.11 2.251 -18.33 96.86 -15.27 54.5 162.7 -9.232 6.117 68.19 4.575 139.91 194.38 -115.99 NA -228.54 224.11 198.43 175.32 78.15 220.78
213	0 11.99 4.074 15.76 130 -13.16 -83.56 -23.22 35.85 -3.397 -135 12.62 102 -119.9 45.28 NA -103.9 48.63 45.29 251.94 85.55 -203.77 20.8 -44.57 -19.4 -277.98 -156.72 -130.51 -22.17
214	0 17.05 18.14 19.66 120 -40.54 -2.779 -29.58 106.1 63.44 -52.93 95.29 115 -59.14 117.9 111.7 -118.5 82.42 66.79 -71.27 -113.77 -229.16 -169.17 -266.66 -233.14 -200.62 -304.28 133.55 -170.03
215	0 -3.541 5.582 -126.6 130 0 -26.74 -17.89 -29.62 51.63 -36.77 61.75 6.863 -64.36 129.2 -10.94 -101.2 37.18 29.38 36.92 -5.68 328.1 210.95 181.53 186.94 -269.5 -177.8 493.73 98.48
216	0 38.95 34.18 112.6 140 -64.1 -71.39 -64.79 126.7 -107.5 -123.4 28.18 72.31 -63.42 46.46 -26.13 -89.25 39.8 116.6 -304.81 -76.49 -156.42 241.78 283.13 NA 102.34 287 218.24 53.24
217	0 13.46 17.76 -171.4 50 -133.3 -5.383 -49.16 101.9 -199.4 -64.6 97.21 -42.38 6.507 16.47 -125.2 -127.3 47 -37.23 -40.68 -307.94 75.83 306.09 175.35 296.59 221.43 77.83 -106.77 208.68
218	0 7.79 3.895 -6.384 140 -38.46 -63.62 -28.31 82.68 -5.309 -103.8 108 31.49 28.24 134.3 81.41 -64.47 80.39 28.17 -138.95 -35.54 179.15 -121.61 110.63 -71.41 -138.28 155.74 433.9 -100.07
219	0 -2.833 -1.416 45.87 150 37.5 75.18 2.961 44.34 22.51 -157.5 87.71 297.8 49.03 -41.43 -8.506 -68.19 123.6 171.1 -10.74 -154.94 -7.21 67.48 -144.69 157.3 -310.99 96.69 -126.81 -231.61
220	0 -21.95 -10.98 47.59 140 25.64 73.24 -2.251 34.66 47.1 -129.3 109.2 271.9 19.74 15.44 25.52 -80.17 142.6 182 -336.61 -77.52 258.65 -229.86 -317.32 -171.67 74.77 -255.27 -150.87 -125
221	0 16.92 15.99 -30.51 100 14.29 -66.87 -63.06 36.16 -54.78 -93.61 -0.3624 113.6 -62.63 55.31 -50.26 -6.277 135.4 71.45 3.93 265.8 301.52 -293.22 90.68 141.42 -120.81 65.68 253.5 38.77
222	0 36.63 22.83 35.01 50 -16.67 -69.53 -63.06 11.54 91.2 -32.76 109.7 -45.79 160.8 123.2 90.06 61.24 183.7 -126 -76.61 72.21 176.15 110.28 -283.08 67.64 144.6 282.97 72.38 112.72
223	0 12.64 13.85 7.601 110 0 15.55 -19.5 52.58 -22.84 -96.03 71.6 193 -54.81 115.5 -33.66 -122 63.82 157.7 291.72 -17.34 -137.11 110.7 125.44 310.51 -250.58 -28.04 -36.87 -101.41
